relative_path,status,docs_exists,backup_exists,docs_size,backup_size,issue_description
zh-CN\Sensor\Wio_Terminal\Extension_Board-7\Audio_Extension_Board\cn_Wio-Terminal-Audio-GUI.md,仅存在于backup,False,True,文件不存在,5620,docs文件夹中缺少此文件
zh-CN\Sensor\Wio_Terminal\Extension_Board-7\Audio_Extension_Board\cn_Wio-Terminal-Audio-Overview.md,仅存在于backup,False,True,文件不存在,1920,docs文件夹中缺少此文件
zh-CN\Sensor\Wio_Terminal\Extension_Board-7\Audio_Extension_Board\cn_Wio-Terminal-Audio-Play-Record.md,仅存在于backup,False,True,文件不存在,25500,docs文件夹中缺少此文件
zh-CN\Sensor\Wio_Terminal\Extension_Board-7\cn_Wio-Terminal-Battery-Chassis.md,仅存在于backup,False,True,文件不存在,5306,docs文件夹中缺少此文件
zh-CN\Sensor\Wio_Terminal\Extension_Board-7\cn_Wio-Terminal-Chassis-Battery_650mAh.md,仅存在于backup,False,True,文件不存在,9917,docs文件夹中缺少此文件
zh-CN\Sensor\Wio_Terminal\Extension_Board-7\cn_Wio-Terminal-Ethernet.md,仅存在于backup,False,True,文件不存在,20493,docs文件夹中缺少此文件
zh-CN\Sensor\Wio_Terminal\Extension_Board-7\cn_Wio_Terminal_LoRaWan_Chassis_with_Antenna-built-in_LoRa-E5_and_GNSS_EU868_US915.md,仅存在于backup,False,True,文件不存在,22093,docs文件夹中缺少此文件
zh-CN\Sensor\Wio_Terminal\Hardware_Overview\Bluetooth\cn_BLE-ibeacon-using-Wio-terminal.md,仅存在于backup,False,True,文件不存在,8717,docs文件夹中缺少此文件
zh-CN\Sensor\Wio_Terminal\Hardware_Overview\Bluetooth\cn_Wio-Terminal-Bluetooth-Overview.md,仅存在于backup,False,True,文件不存在,2610,docs文件夹中缺少此文件
zh-CN\Sensor\Wio_Terminal\Hardware_Overview\Bluetooth\cn_Wio-Terminal-Web-Bluetooth.md,仅存在于backup,False,True,文件不存在,13281,docs文件夹中缺少此文件
zh-CN\Sensor\Wio_Terminal\Hardware_Overview\Bluetooth\cn_Wio-terminal-BLE-introduction.md,仅存在于backup,False,True,文件不存在,21544,docs文件夹中缺少此文件
zh-CN\Sensor\Wio_Terminal\Hardware_Overview\Buttons\cn_Wio-Terminal-Buttons.md,仅存在于backup,False,True,文件不存在,1184,docs文件夹中缺少此文件
zh-CN\Sensor\Wio_Terminal\Hardware_Overview\Buzzer\cn_Wio-Terminal-Buzzer.md,仅存在于backup,False,True,文件不存在,2282,docs文件夹中缺少此文件
zh-CN\Sensor\Wio_Terminal\Hardware_Overview\IMU\cn_Wio-Terminal-IMU-Basic.md,仅存在于backup,False,True,文件不存在,2376,docs文件夹中缺少此文件
zh-CN\Sensor\Wio_Terminal\Hardware_Overview\IMU\cn_Wio-Terminal-IMU-Overview.md,仅存在于backup,False,True,文件不存在,1024,docs文件夹中缺少此文件
zh-CN\Sensor\Wio_Terminal\Hardware_Overview\IMU\cn_Wio-Terminal-IMU-Tapping.md,仅存在于backup,False,True,文件不存在,2289,docs文件夹中缺少此文件
zh-CN\Sensor\Wio_Terminal\Hardware_Overview\Infrared_Emitter\cn_Wio-Terminal-Infrared-Emitter.md,仅存在于backup,False,True,文件不存在,2951,docs文件夹中缺少此文件
zh-CN\Sensor\Wio_Terminal\Hardware_Overview\Input&Output\cn_Wio-Terminal-Grove.md,仅存在于backup,False,True,文件不存在,12133,docs文件夹中缺少此文件
zh-CN\Sensor\Wio_Terminal\Hardware_Overview\Input&Output\cn_Wio-Terminal-IO-Analog.md,仅存在于backup,False,True,文件不存在,1845,docs文件夹中缺少此文件
zh-CN\Sensor\Wio_Terminal\Hardware_Overview\Input&Output\cn_Wio-Terminal-IO-Digital.md,仅存在于backup,False,True,文件不存在,3214,docs文件夹中缺少此文件
zh-CN\Sensor\Wio_Terminal\Hardware_Overview\Input&Output\cn_Wio-Terminal-IO-I2C.md,仅存在于backup,False,True,文件不存在,2174,docs文件夹中缺少此文件
zh-CN\Sensor\Wio_Terminal\Hardware_Overview\Input&Output\cn_Wio-Terminal-IO-Overview.md,仅存在于backup,False,True,文件不存在,1974,docs文件夹中缺少此文件
zh-CN\Sensor\Wio_Terminal\Hardware_Overview\Input&Output\cn_Wio-Terminal-IO-SPI.md,仅存在于backup,False,True,文件不存在,1565,docs文件夹中缺少此文件
zh-CN\Sensor\Wio_Terminal\Hardware_Overview\LCD_Usage\cn_Wio-Terminal-LCD-APIs.md,仅存在于backup,False,True,文件不存在,2942,docs文件夹中缺少此文件
zh-CN\Sensor\Wio_Terminal\Hardware_Overview\LCD_Usage\cn_Wio-Terminal-LCD-Anti-aliased-Fonts.md,仅存在于backup,False,True,文件不存在,5813,docs文件夹中缺少此文件
zh-CN\Sensor\Wio_Terminal\Hardware_Overview\LCD_Usage\cn_Wio-Terminal-LCD-Basic.md,仅存在于backup,False,True,文件不存在,5556,docs文件夹中缺少此文件
zh-CN\Sensor\Wio_Terminal\Hardware_Overview\LCD_Usage\cn_Wio-Terminal-LCD-Fonts.md,仅存在于backup,False,True,文件不存在,3514,docs文件夹中缺少此文件
zh-CN\Sensor\Wio_Terminal\Hardware_Overview\LCD_Usage\cn_Wio-Terminal-LCD-Graphics.md,仅存在于backup,False,True,文件不存在,8300,docs文件夹中缺少此文件
zh-CN\Sensor\Wio_Terminal\Hardware_Overview\LCD_Usage\cn_Wio-Terminal-LCD-Histogram.md,仅存在于backup,False,True,文件不存在,4462,docs文件夹中缺少此文件
zh-CN\Sensor\Wio_Terminal\Hardware_Overview\LCD_Usage\cn_Wio-Terminal-LCD-Linecharts.md,仅存在于backup,False,True,文件不存在,7012,docs文件夹中缺少此文件
zh-CN\Sensor\Wio_Terminal\Hardware_Overview\LCD_Usage\cn_Wio-Terminal-LCD-Loading-Image.md,仅存在于backup,False,True,文件不存在,5865,docs文件夹中缺少此文件
zh-CN\Sensor\Wio_Terminal\Hardware_Overview\LCD_Usage\cn_Wio-Terminal-LCD-Overview.md,仅存在于backup,False,True,文件不存在,2288,docs文件夹中缺少此文件
zh-CN\Sensor\Wio_Terminal\Hardware_Overview\LCD_Usage\cn_Wio-Terminal-LVGL.md,仅存在于backup,False,True,文件不存在,3275,docs文件夹中缺少此文件
zh-CN\Sensor\Wio_Terminal\Hardware_Overview\Light_Sensor\cn_Wio-Terminal-Light.md,仅存在于backup,False,True,文件不存在,919,docs文件夹中缺少此文件
zh-CN\Sensor\Wio_Terminal\Hardware_Overview\Microphone\cn_Wio-Terminal-Mic.md,仅存在于backup,False,True,文件不存在,3019,docs文件夹中缺少此文件
zh-CN\Sensor\Wio_Terminal\Hardware_Overview\RTC\cn_Wio-Terminal-RTC.md,仅存在于backup,False,True,文件不存在,10612,docs文件夹中缺少此文件
zh-CN\Sensor\Wio_Terminal\Hardware_Overview\SD_Card\cn_Wio-Terminal-FS-Overview.md,仅存在于backup,False,True,文件不存在,1410,docs文件夹中缺少此文件
zh-CN\Sensor\Wio_Terminal\Hardware_Overview\SD_Card\cn_Wio-Terminal-FS-ReadWrite.md,仅存在于backup,False,True,文件不存在,7767,docs文件夹中缺少此文件
zh-CN\Sensor\Wio_Terminal\Hardware_Overview\Wi-Fi\cn_Wio-Terminal-Advanced-Wi-Fi.md,仅存在于backup,False,True,文件不存在,26440,docs文件夹中缺少此文件
zh-CN\Sensor\Wio_Terminal\Hardware_Overview\Wi-Fi\cn_Wio-Terminal-Network-Overview.md,仅存在于backup,False,True,文件不存在,8944,docs文件夹中缺少此文件
zh-CN\Sensor\Wio_Terminal\Hardware_Overview\Wi-Fi\cn_Wio-Terminal-Wi-Fi.md,仅存在于backup,False,True,文件不存在,38776,docs文件夹中缺少此文件
zh-CN\Sensor\Wio_Terminal\Hardware_Overview\five_Way_Switch\cn_Wio-Terminal-Switch.md,仅存在于backup,False,True,文件不存在,1324,docs文件夹中缺少此文件
zh-CN\Sensor\Wio_Terminal\Kit_with_Courses\cn_Introduction_to_Artificial_Intelligence_for_Makers.md,仅存在于backup,False,True,文件不存在,15165,docs文件夹中缺少此文件
zh-CN\Sensor\Wio_Terminal\Kit_with_Courses\cn_Wio-Terminal-TinyML-Kit-Course.md,仅存在于backup,False,True,文件不存在,101650,docs文件夹中缺少此文件
zh-CN\Sensor\Wio_Terminal\Kit_with_Courses\cn_Wio-Terminal-TinyML.md,仅存在于backup,False,True,文件不存在,6738,docs文件夹中缺少此文件
zh-CN\Sensor\Wio_Terminal\Tutorial\Blynk_for_Wio_Terminal\cn_Blynk-wireless-OTA-functionality-to-Wio-Terminal.md,仅存在于backup,False,True,文件不存在,7183,docs文件夹中缺少此文件
zh-CN\Sensor\Wio_Terminal\Tutorial\Blynk_for_Wio_Terminal\cn_Wio-Terminal-Blynk.md,仅存在于backup,False,True,文件不存在,10940,docs文件夹中缺少此文件
zh-CN\Sensor\Wio_Terminal\Tutorial\Wio_Terminal_USB_Client\cn_Wio-Terminal-DAPLink.md,仅存在于backup,False,True,文件不存在,2408,docs文件夹中缺少此文件
zh-CN\Sensor\Wio_Terminal\Tutorial\Wio_Terminal_USB_Client\cn_Wio-Terminal-HMI-Usermode-SDK.md,仅存在于backup,False,True,文件不存在,6735,docs文件夹中缺少此文件
zh-CN\Sensor\Wio_Terminal\Tutorial\Wio_Terminal_USB_Client\cn_Wio-Terminal-Reading-Raspberry-Pi.md,仅存在于backup,False,True,文件不存在,5632,docs文件夹中缺少此文件
zh-CN\Sensor\Wio_Terminal\Tutorial\Wio_Terminal_USB_Client\cn_Wio-Terminal-USBCLIENT-Keyboard.md,仅存在于backup,False,True,文件不存在,1793,docs文件夹中缺少此文件
zh-CN\Sensor\Wio_Terminal\Tutorial\Wio_Terminal_USB_Client\cn_Wio-Terminal-USBCLIENT-MIDI.md,仅存在于backup,False,True,文件不存在,4014,docs文件夹中缺少此文件
zh-CN\Sensor\Wio_Terminal\Tutorial\Wio_Terminal_USB_Client\cn_Wio-Terminal-USBCLIENT-Mouse.md,仅存在于backup,False,True,文件不存在,7598,docs文件夹中缺少此文件
zh-CN\Sensor\Wio_Terminal\Tutorial\Wio_Terminal_USB_Client\cn_Wio-Terminal-USBCLIENT-Overview.md,仅存在于backup,False,True,文件不存在,1170,docs文件夹中缺少此文件
zh-CN\Sensor\Wio_Terminal\Tutorial\Wio_Terminal_USB_Host\cn_Wio-Terminal-USBH-Keyboard.md,仅存在于backup,False,True,文件不存在,5889,docs文件夹中缺少此文件
zh-CN\Sensor\Wio_Terminal\Tutorial\Wio_Terminal_USB_Host\cn_Wio-Terminal-USBH-Mouse.md,仅存在于backup,False,True,文件不存在,6173,docs文件夹中缺少此文件
zh-CN\Sensor\Wio_Terminal\Tutorial\Wio_Terminal_USB_Host\cn_Wio-Terminal-USBH-Overview.md,仅存在于backup,False,True,文件不存在,1442,docs文件夹中缺少此文件
zh-CN\Sensor\Wio_Terminal\Tutorial\Wio_Terminal_USB_Host\cn_Wio-Terminal-USBH-Xbox.md,仅存在于backup,False,True,文件不存在,7517,docs文件夹中缺少此文件
zh-CN\Sensor\Wio_Terminal\Tutorial\cn_Azure_IoT_CC.md,仅存在于backup,False,True,文件不存在,4312,docs文件夹中缺少此文件
zh-CN\Sensor\Wio_Terminal\Tutorial\cn_Barometric-Pressure-sensor-using-the-Wio-terminal.md,仅存在于backup,False,True,文件不存在,10897,docs文件夹中缺少此文件
zh-CN\Sensor\Wio_Terminal\Tutorial\cn_Edge-Impulse-Tuner.md,仅存在于backup,False,True,文件不存在,8979,docs文件夹中缺少此文件
zh-CN\Sensor\Wio_Terminal\Tutorial\cn_Getting_started_wizard.md,仅存在于backup,False,True,文件不存在,6969,docs文件夹中缺少此文件
zh-CN\Sensor\Wio_Terminal\Tutorial\cn_Wio-Terminal-8720-dev.md,仅存在于backup,False,True,文件不存在,5695,docs文件夹中缺少此文件
zh-CN\Sensor\Wio_Terminal\Tutorial\cn_Wio-Terminal-Displaying-Gyro.md,仅存在于backup,False,True,文件不存在,6979,docs文件夹中缺少此文件
zh-CN\Sensor\Wio_Terminal\Tutorial\cn_Wio-Terminal-Displaying-Photos.md,仅存在于backup,False,True,文件不存在,4416,docs文件夹中缺少此文件
zh-CN\Sensor\Wio_Terminal\Tutorial\cn_Wio-Terminal-Firmware.md,仅存在于backup,False,True,文件不存在,2747,docs文件夹中缺少此文件
zh-CN\Sensor\Wio_Terminal\Tutorial\cn_Wio-Terminal-HMI.md,仅存在于backup,False,True,文件不存在,14626,docs文件夹中缺少此文件
zh-CN\Sensor\Wio_Terminal\Tutorial\cn_Wio-Terminal-Interactive-Face.md,仅存在于backup,False,True,文件不存在,3372,docs文件夹中缺少此文件
zh-CN\Sensor\Wio_Terminal\Tutorial\cn_Wio-Terminal-Reading-COVID19.md,仅存在于backup,False,True,文件不存在,9345,docs文件夹中缺少此文件
zh-CN\Sensor\Wio_Terminal\Tutorial\cn_Wio-Terminal-Reading-Github.md,仅存在于backup,False,True,文件不存在,11758,docs文件夹中缺少此文件
zh-CN\Sensor\Wio_Terminal\Tutorial\cn_Wio-Terminal-Sound-Meter.md,仅存在于backup,False,True,文件不存在,28042,docs文件夹中缺少此文件
zh-CN\Sensor\Wio_Terminal\Tutorial\cn_Wio-Terminal-Storting-Analog-Data.md,仅存在于backup,False,True,文件不存在,6953,docs文件夹中缺少此文件
zh-CN\Sensor\Wio_Terminal\Tutorial\cn_Wio-Terminal-Thermal-Camera.md,仅存在于backup,False,True,文件不存在,12574,docs文件夹中缺少此文件
zh-CN\Sensor\Wio_Terminal\cn_Software-FreeRTOS.md,仅存在于backup,False,True,文件不存在,15151,docs文件夹中缺少此文件
zh-CN\Sensor\Wio_Terminal\cn_Wio-Terminal-CircuitPython.md,仅存在于backup,False,True,文件不存在,4472,docs文件夹中缺少此文件
zh-CN\Sensor\Wio_Terminal\cn_Wio-Terminal-Getting-Started.md,仅存在于backup,False,True,文件不存在,29435,docs文件夹中缺少此文件
zh-CN\Sensor\Wio_Terminal\cn_Wio_Terminal_Intro.md,仅存在于backup,False,True,文件不存在,11755,docs文件夹中缺少此文件
zh-CN\Sensor\Wio_Terminal\cn_wio_terminal_faq.md,仅存在于backup,False,True,文件不存在,1101,docs文件夹中缺少此文件
zh-CN\TinyML\ModelAssistant\Deploy\cn_ma_deploy_yolov5.md,仅存在于backup,False,True,文件不存在,4995,docs文件夹中缺少此文件
zh-CN\TinyML\ModelAssistant\Deploy\cn_ma_deploy_yolov8.md,仅存在于backup,False,True,文件不存在,5728,docs文件夹中缺少此文件
zh-CN\TinyML\ModelAssistant\Deploy\cn_ma_deploy_yolov8_pose.md,仅存在于backup,False,True,文件不存在,11742,docs文件夹中缺少此文件
zh-CN\Top_Brand\Arduino\cn_Grove-Beginner-Kit-For-Arduino.md,仅存在于backup,False,True,文件不存在,63364,docs文件夹中缺少此文件
zh-CN\Top_Brand\Raspberry_Pi\cn_Grove_Base_Hat_for_Raspberry_Pi.md,仅存在于backup,False,True,文件不存在,20071,docs文件夹中缺少此文件
